array size,nanoseconds,operations 
1480,14967302,2190400
1481,15082734,2193361
1482,15158466,2196324
1483,15234846,2199289
1484,15028505,2202256
1485,15213807,2205225
1486,15773198,2208196
1487,15216140,2211169
1488,15262965,2214144
1489,15191714,2217121
1490,15265383,2220100
1491,15341659,2223081
1492,15290149,2226064
1493,15421814,2229049
1494,15596080,2232036
1495,15235547,2235025
1496,15454082,2238016
1497,15290778,2241009
1498,15540360,2244004
1499,15471348,2247001
1500,15406504,2250000
1501,15827414,2253001
1502,15579437,2256004
1503,15542788,2259009
1504,15674161,2262016
1505,15508994,2265025
1506,15627208,2268036
1507,15586740,2271049
1508,15733061,2274064
1509,15587443,2277081
1510,15630130,2280100
1511,15582340,2283121
1512,15708237,2286144
1513,15801973,2289169
1514,15909669,2292196
1515,15714939,2295225
1516,15715017,2298256
1517,15738644,2301289
1518,17963217,2304324
1519,15866086,2307361
1520,15846072,2310400
1521,15889470,2313441
1522,15826745,2316484
1523,15991534,2319529
1524,15984665,2322576
1525,15942662,2325625
1526,16139636,2328676
1527,16098276,2331729
1528,16041900,2334784
1529,16179271,2337841
1530,16117645,2340900
1531,16151087,2343961
1532,16282816,2347024
1533,16404492,2350089
1534,16213527,2353156
1535,16223906,2356225
1536,16262273,2359296
1537,16339675,2362369
1538,16248243,2365444
1539,16289317,2368521
1540,16345117,2371600
1541,16462162,2374681
1542,16249367,2377764
1543,16339737,2380849
1544,16526085,2383936
1545,16468357,2387025
1546,16553951,2390116
1547,16550992,2393209
1548,18782384,2396304
1549,16789650,2399401
1550,16621113,2402500
1551,16674573,2405601
1552,16615649,2408704
1553,16541521,2411809
1554,16723604,2414916
1555,16813702,2418025
1556,16645527,2421136
1557,16645760,2424249
1558,16791567,2427364
1559,16777308,2430481
1560,16792626,2433600
1561,16825804,2436721
1562,16796553,2439844
1563,17196034,2442969
1564,16924072,2446096
1565,16744662,2449225
1566,16926371,2452356
1567,16967633,2455489
1568,16902981,2458624
1569,17048930,2461761
1570,17006854,2464900
1571,16862472,2468041
1572,17131609,2471184
1573,17134938,2474329
1574,17153776,2477476
1575,17086101,2480625
1576,17057862,2483776
1577,17104492,2486929
1578,17832165,2490084
1579,17118566,2493241
1580,17102031,2496400
1581,17199750,2499561
1582,17140713,2502724
1583,17263492,2505889
1584,17352034,2509056
1585,17322716,2512225
1586,17301022,2515396
1587,17272655,2518569
1588,17330298,2521744
1589,17530102,2524921
1590,17458699,2528100
1591,17471287,2531281
1592,17986569,2534464
1593,18150702,2537649
1594,16295444,2540836
1595,16364783,2544025
1596,16433223,2547216
1597,16453519,2550409
1598,16316091,2553604
1599,16658872,2556801
1600,16252676,2560000
1601,16421390,2563201
1602,16375840,2566404
1603,16410709,2569609
1604,16498027,2572816
1605,17077041,2576025
1606,16524718,2579236
1607,19462152,2582449
1608,16504734,2585664
1609,16493658,2588881
1610,16599287,2592100
1611,16906725,2595321
1612,16654470,2598544
1613,16952729,2601769
1614,16726839,2604996
1615,16798077,2608225
1616,16722325,2611456
1617,16740102,2614689
1618,16597233,2617924
1619,16795843,2621161
1620,16726093,2624400
1621,17348627,2627641
1622,17278731,2630884
1623,17001138,2634129
1624,17040847,2637376
1625,16882116,2640625
1626,16893363,2643876
1627,16906453,2647129
1628,17198653,2650384
1629,17020311,2653641
1630,17041352,2656900
1631,16981790,2660161
1632,17053131,2663424
1633,17103947,2666689
1634,17124133,2669956
1635,17113627,2673225
1636,18019363,2676496
1637,17125692,2679769
1638,17184391,2683044
1639,17206400,2686321
1640,17175588,2689600
1641,17226698,2692881
1642,17158971,2696164
1643,17275213,2699449
1644,17324670,2702736
1645,17231989,2706025
1646,17308418,2709316
1647,17498060,2712609
1648,17365087,2715904
1649,17438186,2719201
1650,17724747,2722500
1651,17949396,2725801
1652,17499856,2729104
1653,17550200,2732409
1654,17589278,2735716
1655,17558108,2739025
1656,17488258,2742336
1657,17631054,2745649
1658,17720508,2748964
1659,17717240,2752281
1660,17620013,2755600
1661,17738569,2758921
1662,17835307,2762244
1663,17758092,2765569
1664,17694573,2768896
1665,18059692,2772225
1666,17817274,2775556
1667,17735943,2778889
1668,17696604,2782224
1669,17763672,2785561
1670,17904786,2788900
1671,17940753,2792241
1672,17962974,2795584
1673,17957374,2798929
1674,17845849,2802276
1675,17800444,2805625
1676,18047075,2808976
1677,17959306,2812329
1678,18377778,2815684
1679,18388935,2819041
1680,18177784,2822400
1681,18124736,2825761
1682,18089693,2829124
1683,18063119,2832489
1684,18181834,2835856
1685,18336922,2839225
1686,18271157,2842596
1687,18266366,2845969
1688,18230787,2849344
1689,18229736,2852721
1690,18354711,2856100
1691,18301194,2859481
1692,18598538,2862864
1693,19826366,2866249
1694,19898588,2869636
1695,19970884,2873025
1696,20129391,2876416
1697,20008495,2879809
1698,20078204,2883204
1699,19974691,2886601
1700,20009205,2890000
1701,20140217,2893401
1702,20317010,2896804
1703,20214731,2900209
1704,20067925,2903616
1705,20058665,2907025
1706,18647656,2910436
1707,18584142,2913849
1708,18805223,2917264
1709,18860814,2920681
1710,19314287,2924100
1711,28350874,2927521
1712,29291092,2930944
1713,27182731,2934369
1714,20419998,2937796
1715,20985035,2941225
1716,20660803,2944656
1717,23753873,2948089
1718,21140567,2951524
1719,22102480,2954961
1720,20298966,2958400
1721,19006723,2961841
1722,18956002,2965284
1723,19112010,2968729
1724,19121750,2972176
1725,19068907,2975625
1726,19089718,2979076
1727,19243168,2982529
1728,19406175,2985984
1729,19433345,2989441
1730,19347029,2992900
1731,19204859,2996361
1732,19362069,2999824
1733,19278633,3003289
1734,19461735,3006756
1735,19307794,3010225
1736,19487918,3013696
1737,19320106,3017169
1738,19503575,3020644
1739,19380452,3024121
1740,19352665,3027600
1741,19505387,3031081
1742,20131492,3034564
1743,19489020,3038049
1744,19505932,3041536
1745,19528043,3045025
1746,19553392,3048516
1747,19637689,3052009
1748,19609902,3055504
1749,19699707,3059001
1750,19683188,3062500
1751,19577487,3066001
1752,20601940,3069504
1753,19753818,3073009
1754,20666034,3076516
1755,21406243,3080025
1756,19981577,3083536
1757,19894746,3087049
1758,19950710,3090564
1759,19995867,3094081
1760,20018967,3097600
1761,19942382,3101121
1762,19931759,3104644
1763,19826135,3108169
1764,19963283,3111696
1765,20104295,3115225
1766,20188598,3118756
1767,21656059,3122289
1768,20058120,3125824
1769,20155823,3129361
1770,20362237,3132900
1771,20117447,3136441
1772,20454918,3139984
1773,20228739,3143529
1774,20189637,3147076
1775,20190582,3150625
1776,20158993,3154176
1777,20398352,3157729
1778,20374639,3161284
1779,21024415,3164841
1780,20490777,3168400
1781,20397078,3171961
1782,20388426,3175524
1783,20459053,3179089
1784,20535398,3182656
1785,20468724,3186225
1786,20500386,3189796
1787,20638842,3193369
1788,20543747,3196944
1789,20621301,3200521
1790,20604168,3204100
1791,21333228,3207681
1792,20673886,3211264
1793,20681262,3214849
1794,20863709,3218436
1795,20764868,3222025
1796,20779649,3225616
1797,20796962,3229209
1798,20754660,3232804
1799,20848400,3236401
1800,20824347,3240000
1801,20956593,3243601
1802,20907275,3247204
1803,21500138,3250809
1804,21097995,3254416
1805,20943793,3258025
1806,21063516,3261636
1807,20984871,3265249
1808,21158257,3268864
1809,20984567,3272481
1810,21037123,3276100
1811,21123505,3279721
1812,21277215,3283344
1813,21163156,3286969
1814,21174298,3290596
1815,22580380,3294225
1816,21169091,3297856
1817,21188523,3301489
1818,21370386,3305124
1819,21400155,3308761
1820,22478227,3312400
1821,23332848,3316041
1822,23229721,3319684
1823,23319675,3323329
1824,23296618,3326976
1825,23222604,3330625
1826,22291024,3334276
1827,21531883,3337929
1828,21533367,3341584
1829,21496603,3345241
1830,21654166,3348900
1831,21538773,3352561
1832,21619256,3356224
1833,21387860,3359889
1834,21678041,3363556
1835,21863514,3367225
1836,21753470,3370896
1837,22634851,3374569
1838,22924005,3378244
1839,21806747,3381921
1840,21893303,3385600
1841,21823893,3389281
1842,22135698,3392964
1843,21929257,3396649
1844,21816230,3400336
1845,21987352,3404025
1846,22074077,3407716
1847,21946272,3411409
1848,21958933,3415104
1849,22908002,3418801
1850,22078880,3422500
1851,22152103,3426201
1852,22127571,3429904
1853,22142114,3433609
1854,22210263,3437316
1855,22161594,3441025
1856,22238108,3444736
1857,22491626,3448449
1858,22508384,3452164
1859,22506847,3455881
1860,23940098,3459600
1861,24363127,3463321
1862,24153276,3467044
1863,22599162,3470769
1864,22377936,3474496
1865,22436527,3478225
1866,22373211,3481956
1867,22505499,3485689
1868,22488024,3489424
1869,22470714,3493161
1870,22467971,3496900
1871,23165499,3500641
1872,22623857,3504384
1873,22547423,3508129
1874,22700804,3511876
1875,22503008,3515625
1876,22784914,3519376
1877,22706239,3523129
1878,23468353,3526884
1879,22820994,3530641
1880,22822682,3534400
1881,23184800,3538161
1882,23140503,3541924
1883,22884366,3545689
1884,22960796,3549456
1885,22824131,3553225
1886,22874647,3556996
1887,22942840,3560769
1888,23178243,3564544
1889,22942994,3568321
1890,23009733,3572100
1891,23079729,3575881
1892,23511410,3579664
1893,23240623,3583449
1894,23125474,3587236
1895,23232278,3591025
1896,23096346,3594816
1897,23192158,3598609
1898,23213477,3602404
1899,23281660,3606201
1900,23205801,3610000
1901,23479058,3613801
1902,24905246,3617604
1903,24510756,3621409
1904,23333291,3625216
1905,23147166,3629025
1906,23447485,3632836
1907,23483832,3636649
1908,23463206,3640464
1909,23457534,3644281
1910,23646536,3648100
1911,23563990,3651921
1912,25300008,3655744
1913,24735351,3659569
1914,24296339,3663396
1915,23770965,3667225
1916,23558289,3671056
1917,23675617,3674889
1918,23806950,3678724
1919,23880654,3682561
1920,23726029,3686400
1921,23836033,3690241
1922,23797093,3694084
1923,24337723,3697929
1924,24887491,3701776
1925,23850083,3705625
1926,23895006,3709476
1927,23849987,3713329
1928,24003420,3717184
1929,24090204,3721041
1930,24090779,3724900
1931,23934893,3728761
1932,26125911,3732624
1933,25287245,3736489
1934,24615679,3740356
1935,24327780,3744225
1936,24220010,3748096
1937,24165212,3751969
1938,24168607,3755844
1939,24264013,3759721
1940,24267297,3763600
1941,24172509,3767481
1942,24272500,3771364
1943,24174329,3775249
1944,24068640,3779136
1945,24645876,3783025
1946,24461710,3786916
1947,24616989,3790809
1948,24510190,3794704
1949,24563743,3798601
1950,24556604,3802500
1951,24637434,3806401
1952,24640406,3810304
1953,24781864,3814209
1954,24928207,3818116
1955,25669012,3822025
1956,24945954,3825936
1957,24945552,3829849
1958,24958316,3833764
1959,25173736,3837681
1960,25192669,3841600
1961,25130344,3845521
1962,27227219,3849444
1963,27321110,3853369
1964,25446119,3857296
1965,26603258,3861225
1966,34061829,3865156
1967,34013063,3869089
1968,25487445,3873024
1969,25381163,3876961
1970,25390362,3880900
1971,27143590,3884841
1972,25441288,3888784
1973,26652255,3892729
1974,33168797,3896676
1975,26937876,3900625
1976,26567834,3904576
1977,25320036,3908529
1978,25308833,3912484
1979,25364369,3916441
1980,25459288,3920400
1981,25583172,3924361
1982,25544114,3928324
1983,25822452,3932289
1984,25339031,3936256
1985,25347578,3940225
1986,25454305,3944196
1987,26283373,3948169
1988,25899613,3952144
1989,25548051,3956121
1990,25552978,3960100
1991,25619520,3964081
1992,25606722,3968064
1993,26416773,3972049
1994,25798023,3976036
1995,25832526,3980025
1996,25919953,3984016
1997,25744028,3988009
1998,25719371,3992004
1999,25785380,3996001
2000,25881106,4000000
