array size,nanoseconds,operations 
392,1877171,153664
393,1714779,154449
394,1763387,155236
395,1700086,156025
396,1712012,156816
397,1747849,157609
398,1749383,158404
399,1755928,159201
400,1750067,160000
401,1762707,160801
402,1771795,161604
403,1842189,162409
404,1801054,163216
405,1859283,164025
406,1757800,164836
407,1798606,165649
408,1825579,166464
409,1791328,167281
410,1839690,168100
411,1853207,168921
412,1830187,169744
413,1910575,170569
414,1831702,171396
415,1862887,172225
416,1913804,173056
417,1940697,173889
418,1920874,174724
419,1940123,175561
420,1863759,176400
421,1848605,177241
422,1750829,178084
423,1684137,178929
424,1685157,179776
425,1682877,180625
426,1761712,181476
427,1723184,182329
428,1725848,183184
429,1999375,184041
430,2018252,184900
431,2006541,185761
432,2037491,186624
433,2045256,187489
434,2039449,188356
435,2074554,189225
436,2070436,190096
437,2115943,190969
438,2065543,191844
439,2152545,192721
440,2114346,193600
441,2128005,194481
442,2165795,195364
443,2174480,196249
444,2173538,197136
445,2167727,198025
446,2190723,198916
447,2244175,199809
448,2243259,200704
449,2202148,201601
450,2200684,202500
451,2253020,203401
452,2518965,204304
453,2346561,205209
454,2424840,206116
455,2266987,207025
456,2291183,207936
457,2166727,208849
458,2001860,209764
459,1980833,210681
460,1903549,211600
461,2249002,212521
462,2360284,213444
463,2265286,214369
464,2318553,215296
465,2350767,216225
466,2389728,217156
467,2404311,218089
468,2414045,219024
469,2289629,219961
470,2036309,220900
471,2006518,221841
472,2027475,222784
473,1964034,223729
474,2173400,224676
475,2124267,225625
476,2113633,226576
477,2201513,227529
478,2208550,228484
479,2486462,229441
480,2513710,230400
481,2540338,231361
482,2405445,232324
483,2267503,233289
484,2320348,234256
485,2582802,235225
486,2736452,236196
487,2344013,237169
488,2440882,238144
489,2417761,239121
490,2648455,240100
491,2636071,241081
492,2612886,242064
493,2638925,243049
494,2642579,244036
495,2718688,245025
496,2746861,246016
497,2685614,247009
498,2729340,248004
499,2714310,249001
500,2812003,250000
501,2798295,251001
502,2820465,252004
503,2777246,253009
504,2900758,254016
505,2890405,255025
506,2887013,256036
507,2825078,257049
508,2737107,258064
509,2511598,259081
510,2550384,260100
511,2505770,261121
512,2653456,262144
513,2920607,263169
514,2897231,264196
515,2926010,265225
516,2844225,266256
517,3031516,267289
518,2939970,268324
519,2686275,269361
520,2651953,270400
521,2776254,271441
522,2651556,272484
523,3040481,273529
524,2995980,274576
525,10711846,275625
526,3020636,276676
527,9378642,277729
528,3049185,278784
529,6533473,279841
530,3123962,280900
531,6796199,281961
532,9162965,283024
533,3133848,284089
534,3151865,285156
535,13142215,286225
536,3251821,287296
537,3175351,288369
538,14882088,289444
539,3240295,290521
540,3276844,291600
541,3213479,292681
542,13245106,293764
543,3301485,294849
544,3267638,295936
545,13020629,297025
546,2959491,298116
547,2950772,299209
548,3663555,300304
549,1942887,301401
550,2806817,302500
551,2864740,303601
552,2911452,304704
553,2862141,305809
554,2836758,306916
555,2861511,308025
556,2975789,309136
557,2988839,310249
558,6226465,311364
559,2253589,312481
560,2034846,313600
561,2411718,314721
562,3067061,315844
563,3106660,316969
564,3218329,318096
565,3303111,319225
566,3213978,320356
567,3300281,321489
568,3296407,322624
569,3399912,323761
570,3330880,324900
571,3250177,326041
572,3333808,327184
573,3255151,328329
574,3232666,329476
575,2811507,330625
576,2131177,331776
577,2154680,332929
578,2392336,334084
579,33242425,335241
580,3086108,336400
581,3106988,337561
582,3048139,338724
583,3268844,339889
584,3101113,341056
585,3228853,342225
586,3237684,343396
587,3247262,344569
588,3082341,345744
589,3201437,346921
590,3322160,348100
591,3478922,349281
592,3440369,350464
593,3436758,351649
594,3375734,352836
595,3375082,354025
596,3387507,355216
597,3505306,356409
598,3416950,357604
599,3448177,358801
600,3389033,360000
601,3379374,361201
602,3318145,362404
603,3482610,363609
604,3391643,364816
605,7496389,366025
606,3407935,367236
607,6855704,368449
608,4219481,369664
609,3610549,370881
610,3984223,372100
611,4143810,373321
612,4121565,374544
613,4128051,375769
614,4172318,376996
615,4110828,378225
616,4203552,379456
617,4205964,380689
618,3854678,381924
619,3984447,383161
620,3915470,384400
621,3811324,385641
622,2642555,386884
623,2546274,388129
624,2525730,389376
625,2522877,390625
626,2511277,391876
627,2528540,393129
628,2542126,394384
629,2548412,395641
630,2562969,396900
631,2561257,398161
632,2617730,399424
633,2619329,400689
634,2582873,401956
635,2621051,403225
636,2670432,404496
637,2650635,405769
638,2622756,407044
639,2605653,408321
640,2656715,409600
641,2737866,410881
642,2647937,412164
643,2671017,413449
644,2723546,414736
645,2738596,416025
646,2722653,417316
647,2700469,418609
