minDistance,,,minDistance2,,
array size,nanoseconds,operations1,array size,nanoseconds,operations2
2404,20248382,5779216,2404,10841029,2888406
2405,20174545,5784025,2405,10902193,2890810
2406,20138310,5788836,2406,10864975,2893215
2407,20227231,5793649,2407,10921940,2895621
2408,21034175,5798464,2408,10906116,2898028
2409,21072296,5803281,2409,10892404,2900436
2410,26125836,5808100,2410,11025130,2902845
2411,26117026,5812921,2411,10994006,2905255
2412,21200461,5817744,2412,11016275,2907666
2413,22692072,5822569,2413,11002363,2910078
2414,26384989,5827396,2414,10990817,2912491
2415,27523041,5832225,2415,11053763,2914905
2416,21298943,5837056,2416,10953890,2917320
2417,27417292,5841889,2417,10965274,2919736
2418,26333573,5846724,2418,10991298,2922153
2419,22685718,5851561,2419,11036152,2924571
2420,21279817,5856400,2420,11017758,2926990
2421,21267102,5861241,2421,10992716,2929410
2422,21353830,5866084,2422,11041151,2931831
2423,21304235,5870929,2423,11014312,2934253
2424,20916741,5875776,2424,11047790,2936676
2425,20991578,5880625,2425,11068434,2939100
2426,20974836,5885476,2426,11113987,2941525
2427,20969841,5890329,2427,11249556,2943951
2428,21157846,5895184,2428,11067252,2946378
2429,20996739,5900041,2429,11116519,2948806
2430,22465657,5904900,2430,11230401,2951235
2431,21157616,5909761,2431,11115285,2953665
2432,20061241,5914624,2432,11144732,2956096
2433,20089392,5919489,2433,11135900,2958528
2434,20078569,5924356,2434,11164256,2960961
2435,20070855,5929225,2435,11124679,2963395
2436,21633412,5934096,2436,12029142,2965830
2437,20673942,5938969,2437,11165920,2968266
2438,20135317,5943844,2438,11197384,2970703
2439,20169032,5948721,2439,11185775,2973141
2440,20148578,5953600,2440,11240723,2975580
2441,20166175,5958481,2441,11209287,2978020
2442,20233882,5963364,2442,11212330,2980461
2443,20262151,5968249,2443,11220881,2982903
2444,20235109,5973136,2444,11237558,2985346
2445,20250287,5978025,2445,11571063,2987790
2446,20825172,5982916,2446,11341279,2990235
2447,20349399,5987809,2447,11230627,2992681
2448,20335172,5992704,2448,11295586,2995128
2449,20449804,5997601,2449,11282638,2997576
2450,20367510,6002500,2450,11292031,3000025
2451,20344989,6007401,2451,11350229,3002475
2452,20339601,6012304,2452,11280328,3004926
2453,21130496,6017209,2453,11343686,3007378
2454,20388682,6022116,2454,11352110,3009831
2455,20406799,6027025,2455,11304780,3012285
2456,21226171,6031936,2456,11374100,3014740
2457,20427316,6036849,2457,11353391,3017196
2458,20671410,6041764,2458,11443766,3019653
2459,20634428,6046681,2459,11374192,3022111
2460,20524641,6051600,2460,11350872,3024570
2461,20849017,6056521,2461,12021221,3027030
2462,20731108,6061444,2462,11423057,3029491
2463,20533916,6066369,2463,11459814,3031953
2464,20600139,6071296,2464,11452133,3034416
2465,20554606,6076225,2465,11418982,3036880
2466,20645758,6081156,2466,11518072,3039345
2467,20688554,6086089,2467,11440986,3041811
2468,20635083,6091024,2468,11506891,3044278
2469,20636621,6095961,2469,11470881,3046746
2470,20685783,6100900,2470,11451345,3049215
2471,20664255,6105841,2471,11484814,3051685
2472,20735216,6110784,2472,11460469,3054156
2473,20842931,6115729,2473,11531514,3056628
2474,20737307,6120676,2474,11511124,3059101
2475,20779748,6125625,2475,11516513,3061575
2476,20763973,6130576,2476,11554506,3064050
2477,21728191,6135529,2477,11637247,3066526
2478,22129989,6140484,2478,11536716,3069003
2479,20849069,6145441,2479,11577792,3071481
2480,20912877,6150400,2480,11545012,3073960
2481,20863466,6155361,2481,11579218,3076440
2482,20877744,6160324,2482,11662857,3078921
2483,20867428,6165289,2483,11570328,3081403
2484,20931948,6170256,2484,11599833,3083886
2485,20903723,6175225,2485,11614595,3086370
2486,20924117,6180196,2486,12443325,3088855
2487,21887742,6185169,2487,11638292,3091341
2488,20972675,6190144,2488,11758875,3093828
2489,21034155,6195121,2489,12412972,3096316
2490,21538378,6200100,2490,12024137,3098805
2491,21930216,6205081,2491,11972846,3101295
2492,22086098,6210064,2492,12019723,3103786
2493,21663391,6215049,2493,12567783,3106278
2494,21810650,6220036,2494,12048427,3108771
2495,21820016,6225025,2495,12059570,3111265
2496,21810271,6230016,2496,12117660,3113760
2497,21552892,6235009,2497,12059607,3116256
2498,21502420,6240004,2498,11883566,3118753
2499,21240826,6245001,2499,11758989,3121251
2500,21151752,6250000,2500,11747160,3123750
2501,21217562,6255001,2501,11769766,3126250
2502,21235428,6260004,2502,11768205,3128751
2503,21223581,6265009,2503,11785233,3131253
2504,21240459,6270016,2504,11820000,3133756
2505,21240885,6275025,2505,11833956,3136260
2506,21262538,6280036,2506,11801330,3138765
2507,22421027,6285049,2507,11883520,3141271
2508,21415832,6290064,2508,11869115,3143778
2509,21378046,6295081,2509,11861149,3146286
2510,21424874,6300100,2510,11852944,3148795
2511,21373382,6305121,2511,11884419,3151305
2512,21355565,6310144,2512,11892911,3153816
2513,21354379,6315169,2513,11907401,3156328
2514,21431293,6320196,2514,11890947,3158841
2515,21404797,6325225,2515,11887907,3161355
2516,21423062,6330256,2516,11949016,3163870
2517,21523320,6335289,2517,11919185,3166386
2518,21498312,6340324,2518,11918436,3168903
2519,21663570,6345361,2519,12677471,3171421
2520,22418134,6350400,2520,12872080,3173940
2521,23212203,6355441,2521,12200665,3176460
2522,22202393,6360484,2522,12162893,3178981
2523,21599419,6365529,2523,12008462,3181503
2524,21606599,6370576,2524,12017982,3184026
2525,21808954,6375625,2525,12037161,3186550
2526,21675633,6380676,2526,12019736,3189075
2527,21656478,6385729,2527,12058673,3191601
2528,21661207,6390784,2528,12013361,3194128
2529,21693265,6395841,2529,12034187,3196656
2530,22511929,6400900,2530,12967519,3199185
2531,22841333,6405961,2531,12098142,3201715
2532,21733942,6411024,2532,12035920,3204246
2533,21785468,6416089,2533,12105153,3206778
2534,21780421,6421156,2534,12092928,3209311
2535,21776820,6426225,2535,12053883,3211845
2536,21891468,6431296,2536,12810551,3214380
2537,22046491,6436369,2537,12217502,3216916
2538,21880788,6441444,2538,12085538,3219453
2539,21915524,6446521,2539,12119126,3221991
2540,21844796,6451600,2540,12159962,3224530
2541,22336322,6456681,2541,13078505,3227070
2542,21954874,6461764,2542,12811784,3229611
2543,22102834,6466849,2543,12163119,3232153
2544,21918063,6471936,2544,12172554,3234696
2545,21946761,6477025,2545,12171168,3237240
2546,21997107,6482116,2546,12193289,3239785
2547,21982812,6487209,2547,12215597,3242331
2548,21993015,6492304,2548,12275799,3244878
2549,22127726,6497401,2549,12280990,3247426
2550,22024738,6502500,2550,12255200,3249975
2551,22426610,6507601,2551,12299246,3252525
2552,22154915,6512704,2552,12265127,3255076
2553,22067162,6517809,2553,12297717,3257628
2554,22072430,6522916,2554,12271512,3260181
2555,22302684,6528025,2555,12342269,3262735
2556,22145312,6533136,2556,12283520,3265290
2557,22184246,6538249,2557,12295616,3267846
2558,22258675,6543364,2558,12314041,3270403
2559,22182422,6548481,2559,12279739,3272961
2560,22171073,6553600,2560,12376570,3275520
2561,22226648,6558721,2561,12326314,3278080
2562,22265460,6563844,2562,12319856,3280641
2563,22307981,6568969,2563,12343268,3283203
2564,22280743,6574096,2564,12364898,3285766
2565,22402362,6579225,2565,13152838,3288330
2566,22530463,6584356,2566,12413187,3290895
2567,22386990,6589489,2567,12358088,3293461
2568,22472044,6594624,2568,12405533,3296028
2569,22319207,6599761,2569,12491292,3298596
2570,22388535,6604900,2570,12396184,3301165
2571,22417291,6610041,2571,12423070,3303735
2572,22428418,6615184,2572,12464759,3306306
2573,22392032,6620329,2573,12465356,3308878
2574,22426016,6625476,2574,12468623,3311451
2575,22511294,6630625,2575,12463941,3314025
2576,22486755,6635776,2576,12501903,3316600
2577,22652599,6640929,2577,12513721,3319176
2578,22584395,6646084,2578,12563317,3321753
2579,22537867,6651241,2579,12817145,3324331
2580,23213369,6656400,2580,12642870,3326910
2581,22614330,6661561,2581,12590212,3329490
2582,22626408,6666724,2582,12527112,3332071
2583,22560573,6671889,2583,12573589,3334653
2584,22857586,6677056,2584,12599149,3337236
2585,22668128,6682225,2585,12570477,3339820
2586,22703169,6687396,2586,12572414,3342405
2587,22703891,6692569,2587,12561695,3344991
2588,23925104,6697744,2588,12911465,3347578
2589,22741579,6702921,2589,12607186,3350166
2590,22733304,6708100,2590,12630198,3352755
2591,22798148,6713281,2591,12678850,3355345
2592,22753752,6718464,2592,12656261,3357936
2593,22772747,6723649,2593,12714016,3360528
2594,23640911,6728836,2594,12773431,3363121
2595,23065746,6734025,2595,12664506,3365715
2596,22892565,6739216,2596,12674857,3368310
2597,22859364,6744409,2597,12698620,3370906
2598,23750309,6749604,2598,13267117,3373503
2599,22934060,6754801,2599,12696140,3376101
2600,22891509,6760000,2600,12711764,3378700
2601,22891324,6765201,2601,13648830,3381300
2602,23431076,6770404,2602,12734697,3383901
2603,23709767,6775609,2603,12743162,3386503
2604,22994606,6780816,2604,12777022,3389106
2605,23083040,6786025,2605,12749033,3391710
2606,23045125,6791236,2606,12868621,3394315
2607,23032689,6796449,2607,13177309,3396921
2608,23515213,6801664,2608,12940196,3399528
2609,23055886,6806881,2609,12827456,3402136
2610,23092704,6812100,2610,12829672,3404745
2611,23097177,6817321,2611,12870937,3407355
2612,23105110,6822544,2612,12821053,3409966
2613,23148072,6827769,2613,12841637,3412578
2614,23189817,6832996,2614,12819119,3415191
2615,23196796,6838225,2615,12887589,3417805
2616,23171710,6843456,2616,12871476,3420420
2617,23252045,6848689,2617,12873248,3423036
2618,23240342,6853924,2618,12914982,3425653
2619,23290807,6859161,2619,12863584,3428271
2620,23301584,6864400,2620,12883501,3430890
2621,23268453,6869641,2621,13886335,3433510
2622,23494125,6874884,2622,12980441,3436131
2623,23309611,6880129,2623,12929896,3438753
2624,23490525,6885376,2624,12953404,3441376
2625,23344378,6890625,2625,12968604,3444000
2626,23390036,6895876,2626,12979050,3446625
2627,23338731,6901129,2627,12978367,3449251
2628,23418811,6906384,2628,12978331,3451878
2629,23393815,6911641,2629,13021847,3454506
2630,23438205,6916900,2630,13019861,3457135
2631,23497828,6922161,2631,13021137,3459765
2632,23466108,6927424,2632,13029765,3462396
2633,23607928,6932689,2633,13055802,3465028
2634,23485792,6937956,2634,13050379,3467661
2635,24189231,6943225,2635,13115179,3470295
2636,23653817,6948496,2636,13449994,3472930
2637,23599954,6953769,2637,13472255,3475566
2638,23841979,6959044,2638,13512756,3478203
2639,23655752,6964321,2639,13490050,3480841
2640,23617350,6969600,2640,13502656,3483480
2641,23612652,6974881,2641,13550984,3486120
2642,23618161,6980164,2642,13493357,3488761
2643,23669954,6985449,2643,13491427,3491403
2644,23762141,6990736,2644,13813286,3494046
2645,23706525,6996025,2645,13839144,3496690
2646,23760544,7001316,2646,16794096,3499335
2647,23759978,7006609,2647,16801496,3501981
2648,23812663,7011904,2648,14539418,3504628
2649,23922445,7017201,2649,15059977,3507276
2650,23786527,7022500,2650,17404355,3509925
2651,23884764,7027801,2651,17376962,3512575
2652,23828617,7033104,2652,15149472,3515226
2653,24423273,7038409,2653,17097738,3517878
2654,23880695,7043716,2654,16474943,3520531
2655,23864584,7049025,2655,15142575,3523185
2656,23876527,7054336,2656,13944855,3525840
2657,23973163,7059649,2657,13944649,3528496
2658,23945666,7064964,2658,13960053,3531153
2659,25405803,7070281,2659,14706446,3533811
2660,24695746,7075600,2660,14121753,3536470
2661,25749200,7080921,2661,14329428,3539130
2662,25809543,7086244,2662,14250055,3541791
2663,25304728,7091569,2663,14297363,3544453
2664,24847952,7096896,2664,14223262,3547116
2665,25068052,7102225,2665,14356855,3549780
2666,24526060,7107556,2666,13864310,3552445
2667,24227664,7112889,2667,13646627,3555111
2668,24090207,7118224,2668,13434033,3557778
2669,24164427,7123561,2669,13576632,3560446
2670,24281880,7128900,2670,13436575,3563115
2671,24161402,7134241,2671,13503089,3565785
2672,24156916,7139584,2672,13469733,3568456
2673,24206766,7144929,2673,13436251,3571128
2674,25139940,7150276,2674,13515265,3573801
2675,24373294,7155625,2675,13447473,3576475
2676,24307556,7160976,2676,13484917,3579150
2677,24261583,7166329,2677,13504671,3581826
2678,24362331,7171684,2678,13482235,3584503
2679,24344187,7177041,2679,13496319,3587181
2680,24340720,7182400,2680,13518859,3589860
2681,24341940,7187761,2681,13557059,3592540
2682,24878603,7193124,2682,13753068,3595221
2683,24451111,7198489,2683,13535810,3597903
2684,24459775,7203856,2684,13520335,3600586
2685,24556545,7209225,2685,13541705,3603270
2686,24424538,7214596,2686,13563994,3605955
2687,25304444,7219969,2687,13710966,3608641
2688,24603422,7225344,2688,13580559,3611328
2689,24508525,7230721,2689,13682506,3614016
2690,24518993,7236100,2690,13609705,3616705
2691,24535923,7241481,2691,13612167,3619395
2692,24525152,7246864,2692,13650882,3622086
2693,24610773,7252249,2693,13626905,3624778
2694,24599056,7257636,2694,13650218,3627471
2695,24624119,7263025,2695,13652615,3630165
2696,24737760,7268416,2696,13765300,3632860
2697,24684581,7273809,2697,13748758,3635556
2698,24636876,7279204,2698,13712722,3638253
2699,24954747,7284601,2699,13729409,3640951
2700,25318760,7290000,2700,13846769,3643650
2701,24803451,7295401,2701,13742080,3646350
2702,24763470,7300804,2702,13850099,3649051
2703,24759763,7306209,2703,13738114,3651753
2704,24811207,7311616,2704,13735317,3654456
2705,24801175,7317025,2705,13745821,3657160
2706,24791744,7322436,2706,13764113,3659865
2707,24822717,7327849,2707,13739160,3662571
2708,24911426,7333264,2708,13779672,3665278
2709,25014713,7338681,2709,13805247,3667986
2710,24969435,7344100,2710,13823606,3670695
2711,25141070,7349521,2711,13916563,3673405
2712,24889050,7354944,2712,13829910,3676116
2713,25525222,7360369,2713,14000305,3678828
2714,25015564,7365796,2714,13878096,3681541
2715,24959958,7371225,2715,13933110,3684255
2716,24954220,7376656,2716,13884070,3686970
2717,25008458,7382089,2717,13876560,3689686
2718,25039029,7387524,2718,13891672,3692403
2719,25105482,7392961,2719,13897064,3695121
2720,25029832,7398400,2720,13932013,3697840
2721,25057327,7403841,2721,13936100,3700560
2722,25172757,7409284,2722,14029843,3703281
2723,25136636,7414729,2723,13979581,3706003
2724,25139618,7420176,2724,13969670,3708726
2725,25213486,7425625,2725,13951322,3711450
2726,25867588,7431076,2726,14103460,3714175
2727,25281530,7436529,2727,13976271,3716901
2728,25284971,7441984,2728,14045964,3719628
2729,25210412,7447441,2729,14064817,3722356
2730,25232935,7452900,2730,14008901,3725085
2731,25265169,7458361,2731,14039108,3727815
2732,25320092,7463824,2732,14060681,3730546
2733,25282871,7469289,2733,14040359,3733278
2734,25401697,7474756,2734,14070885,3736011
2735,25357881,7480225,2735,14088818,3738745
2736,25458656,7485696,2736,14104937,3741480
2737,25392812,7491169,2737,14074716,3744216
2738,25370395,7496644,2738,14771235,3746953
2739,25658789,7502121,2739,14163843,3749691
2740,25577480,7507600,2740,14369091,3752430
2741,25489300,7513081,2741,14124969,3755170
2742,25494707,7518564,2742,14152970,3757911
2743,25504367,7524049,2743,14194920,3760653
2744,25525351,7529536,2744,14170038,3763396
2745,25488776,7535025,2745,14177305,3766140
2746,26172791,7540516,2746,14988858,3768885
2747,25602082,7546009,2747,14184009,3771631
2748,25654403,7551504,2748,14255754,3774378
2749,25584092,7557001,2749,14219978,3777126
2750,25663883,7562500,2750,14215071,3779875
2751,26956892,7568001,2751,15486458,3782625
2752,27443897,7573504,2752,14266899,3785376
2753,25678029,7579009,2753,14286885,3788128
2754,25651533,7584516,2754,14334780,3790881
2755,25733851,7590025,2755,14270774,3793635
2756,25757328,7595536,2756,14292588,3796390
2757,25743275,7601049,2757,14288180,3799146
2758,25769838,7606564,2758,14300985,3801903
2759,25799766,7612081,2759,14321696,3804661
2760,25838401,7617600,2760,14319352,3807420
2761,25935680,7623121,2761,14432803,3810180
2762,25857466,7628644,2762,14329399,3812941
2763,25847543,7634169,2763,15108916,3815703
2764,26069188,7639696,2764,14412919,3818466
2765,25899934,7645225,2765,14416981,3821230
2766,26065547,7650756,2766,14496372,3823995
2767,26012142,7656289,2767,14393551,3826761
2768,25972155,7661824,2768,14418798,3829528
2769,25949070,7667361,2769,14478429,3832296
2770,25961651,7672900,2770,14445135,3835065
2771,26003092,7678441,2771,14488632,3837835
2772,26023461,7683984,2772,14470323,3840606
2773,26075805,7689529,2773,14504418,3843378
2774,26062787,7695076,2774,14488650,3846151
2775,26090441,7700625,2775,14558881,3848925
2776,26873665,7706176,2776,14499870,3851700
2777,26241261,7711729,2777,14496481,3854476
2778,26262668,7717284,2778,14507667,3857253
2779,26180308,7722841,2779,14526679,3860031
2780,26153383,7728400,2780,14564866,3862810
2781,26216273,7733961,2781,14589329,3865590
2782,26232070,7739524,2782,14524358,3868371
2783,26263430,7745089,2783,14555765,3871153
2784,26328737,7750656,2784,14575479,3873936
2785,26298704,7756225,2785,14689041,3876720
2786,26315798,7761796,2786,14583883,3879505
2787,26314382,7767369,2787,14574215,3882291
2788,27174213,7772944,2788,14780096,3885078
2789,26625343,7778521,2789,14717270,3887866
2790,26526126,7784100,2790,14679206,3890655
2791,26472549,7789681,2791,14764626,3893445
2792,26391023,7795264,2792,14675034,3896236
2793,26434839,7800849,2793,14701286,3899028
2794,26709194,7806436,2794,14707835,3901821
2795,26596340,7812025,2795,14726256,3904615
2796,26556600,7817616,2796,14694365,3907410
2797,26549944,7823209,2797,14806384,3910206
2798,27008464,7828804,2798,14808312,3913003
2799,26605376,7834401,2799,15197103,3915801
2800,27490433,7840000,2800,14900701,3918600
2801,26623776,7845601,2801,14741391,3921400
2802,26718057,7851204,2802,14747573,3924201
2803,26652418,7856809,2803,14818001,3927003
2804,26625748,7862416,2804,14872486,3929806
2805,26722526,7868025,2805,14811482,3932610
2806,26662239,7873636,2806,14790583,3935415
2807,26681885,7879249,2807,15126098,3938221
2808,27310291,7884864,2808,14820246,3941028
2809,26743917,7890481,2809,14921778,3943836
2810,28026931,7896100,2810,15482026,3946645
2811,28977060,7901721,2811,15524987,3949455
2812,28411601,7907344,2812,15936286,3952266
2813,28017586,7912969,2813,15476075,3955078
2814,27903169,7918596,2814,15443802,3957891
2815,27992266,7924225,2815,15496293,3960705
2816,27805266,7929856,2816,15091961,3963520
2817,27070918,7935489,2817,14979974,3966336
2818,26930275,7941124,2818,14910642,3969153
2819,27000725,7946761,2819,14958382,3971971
2820,26989660,7952400,2820,14954667,3974790
2821,27003644,7958041,2821,14999022,3977610
2822,26986198,7963684,2822,14959360,3980431
2823,26998094,7969329,2823,15616947,3983253
2824,27548006,7974976,2824,15051515,3986076
2825,27071182,7980625,2825,15022975,3988900
2826,27140694,7986276,2826,15002271,3991725
2827,27493717,7991929,2827,15082445,3994551
2828,27215941,7997584,2828,15007133,3997378
2829,27131337,8003241,2829,15059137,4000206
2830,27136364,8008900,2830,15039773,4003035
2831,27266217,8014561,2831,15141927,4005865
2832,27246555,8020224,2832,15124575,4008696
2833,27305929,8025889,2833,15116508,4011528
2834,27204906,8031556,2834,15084520,4014361
2835,27312161,8037225,2835,16140263,4017195
2836,27438757,8042896,2836,15195019,4020030
2837,27449875,8048569,2837,15155864,4022866
2838,27315969,8054244,2838,15108790,4025703
2839,27572745,8059921,2839,15292514,4028541
2840,27427539,8065600,2840,15193524,4031380
2841,27339041,8071281,2841,15171010,4034220
2842,27378716,8076964,2842,15177549,4037061
2843,27458960,8082649,2843,15205719,4039903
2844,27414665,8088336,2844,15220215,4042746
2845,27429195,8094025,2845,15261634,4045590
2846,27502133,8099716,2846,15232864,4048435
2847,28683752,8105409,2847,15524700,4051281
2848,27500899,8111104,2848,15258824,4054128
2849,27556402,8116801,2849,15277637,4056976
2850,27485081,8122500,2850,15317705,4059825
2851,27515587,8128201,2851,15322541,4062675
2852,27547024,8133904,2852,15286183,4065526
2853,27621522,8139609,2853,15264185,4068378
2854,27610375,8145316,2854,15355259,4071231
2855,27606602,8151025,2855,15346140,4074085
2856,27618475,8156736,2856,15418986,4076940
2857,27642732,8162449,2857,15352799,4079796
2858,27629882,8168164,2858,15581732,4082653
2859,28412278,8173881,2859,15354530,4085511
2860,27747084,8179600,2860,15369924,4088370
2861,27992673,8185321,2861,15494933,4091230
2862,27808727,8191044,2862,15383033,4094091
2863,27790359,8196769,2863,15407909,4096953
2864,27788862,8202496,2864,15436090,4099816
2865,27767490,8208225,2865,15448873,4102680
2866,27864587,8213956,2866,15427487,4105545
2867,27872610,8219689,2867,15434638,4108411
2868,27932996,8225424,2868,15455502,4111278
2869,27899923,8231161,2869,15466775,4114146
2870,28726390,8236900,2870,15694601,4117015
2871,28037315,8242641,2871,15519592,4119885
2872,28017042,8248384,2872,15516510,4122756
2873,27944420,8254129,2873,15558056,4125628
2874,27960400,8259876,2874,15520387,4128501
2875,27985003,8265625,2875,15555526,4131375
2876,27993531,8271376,2876,15545684,4134250
2877,28040345,8277129,2877,15877904,4137126
2878,28119160,8282884,2878,15562967,4140003
2879,28078450,8288641,2879,15683901,4142881
2880,28188186,8294400,2880,15611675,4145760
2881,28059248,8300161,2881,15975843,4148640
2882,28785374,8305924,2882,15631847,4151521
2883,28188164,8311689,2883,15616489,4154403
2884,28199464,8317456,2884,15630208,4157286
2885,28225918,8323225,2885,15640213,4160170
2886,28237111,8328996,2886,15658685,4163055
2887,28333452,8334769,2887,15665418,4165941
2888,28254368,8340544,2888,15681764,4168828
2889,28356872,8346321,2889,15738868,4171716
2890,28314936,8352100,2890,15746845,4174605
2891,28288890,8357881,2891,15703374,4177495
2892,28337524,8363664,2892,15748058,4180386
2893,29191605,8369449,2893,15890928,4183278
2894,28427027,8375236,2894,15711237,4186171
2895,28437074,8381025,2895,15739433,4189065
2896,28542028,8386816,2896,15814989,4191960
2897,28403867,8392609,2897,15791154,4194856
2898,28477207,8398404,2898,15974235,4197753
2899,28537489,8404201,2899,15791027,4200651
2900,28524807,8410000,2900,15802612,4203550
2901,28547764,8415801,2901,15804807,4206450
2902,28604990,8421604,2902,15862467,4209351
2903,28582498,8427409,2903,15806221,4212253
2904,29010844,8433216,2904,16131278,4215156
2905,28713804,8439025,2905,15881593,4218060
2906,28597438,8444836,2906,15923854,4220965
2907,28607755,8450649,2907,15899011,4223871
2908,28890198,8456464,2908,16932758,4226778
2909,28716940,8462281,2909,15904237,4229686
2910,28661677,8468100,2910,15914994,4232595
2911,28731588,8473921,2911,15985267,4235505
2912,28932414,8479744,2912,15996907,4238416
2913,28823758,8485569,2913,15935403,4241328
2914,28782299,8491396,2914,15954477,4244241
2915,29207961,8497225,2915,16620782,4247155
2916,28961553,8503056,2916,16008730,4250070
2917,28918988,8508889,2917,16082514,4252986
2918,28800115,8514724,2918,16052342,4255903
2919,29026547,8520561,2919,16058734,4258821
2920,28933495,8526400,2920,15986737,4261740
2921,29032859,8532241,2921,16143024,4264660
2922,29025707,8538084,2922,16216040,4267581
2923,29027996,8543929,2923,16092775,4270503
2924,29085713,8549776,2924,16041923,4273426
2925,29077089,8555625,2925,16107127,4276350
2926,29053206,8561476,2926,16777395,4279275
2927,29215759,8567329,2927,16164641,4282201
2928,29045053,8573184,2928,16135150,4285128
2929,29063490,8579041,2929,16132666,4288056
2930,29174327,8584900,2930,16201605,4290985
2931,29147347,8590761,2931,16176536,4293915
2932,29142354,8596624,2932,16123341,4296846
2933,29138383,8602489,2933,16234097,4299778
2934,29146986,8608356,2934,16231682,4302711
2935,29443053,8614225,2935,16200227,4305645
2936,29228175,8620096,2936,16192397,4308580
2937,29450181,8625969,2937,17479116,4311516
2938,29427725,8631844,2938,16272056,4314453
2939,29381738,8637721,2939,16292094,4317391
2940,29291611,8643600,2940,16270666,4320330
2941,29287950,8649481,2941,16479760,4323270
2942,29342332,8655364,2942,16260114,4326211
2943,29341077,8661249,2943,16300455,4329153
2944,29605774,8667136,2944,16330128,4332096
2945,29380631,8673025,2945,16332006,4335040
2946,29735362,8678916,2946,16445499,4337985
2947,29515056,8684809,2947,16319007,4340931
2948,29581669,8690704,2948,17076880,4343878
2949,29630631,8696601,2949,16391809,4346826
2950,29503248,8702500,2950,16374141,4349775
2951,29521326,8708401,2951,16382458,4352725
2952,29467672,8714304,2952,16417926,4355676
2953,29554104,8720209,2953,16375309,4358628
2954,29597555,8726116,2954,16394576,4361581
2955,29574652,8732025,2955,16467205,4364535
2956,29621190,8737936,2956,16420598,4367490
2957,29697239,8743849,2957,16398315,4370446
2958,29674959,8749764,2958,16439007,4373403
2959,31081108,8755681,2959,16788345,4376361
2960,29769686,8761600,2960,16425224,4379320
2961,29730737,8767521,2961,16493971,4382280
2962,29714066,8773444,2962,16511666,4385241
2963,29750733,8779369,2963,16489901,4388203
2964,29784349,8785296,2964,16529119,4391166
2965,29753187,8791225,2965,16541088,4394130
2966,29843143,8797156,2966,16530680,4397095
2967,29833123,8803089,2967,16538374,4400061
2968,29933582,8809024,2968,16610612,4403028
2969,29839312,8814961,2969,16562616,4405996
2970,30886522,8820900,2970,16691264,4408965
2971,29930186,8826841,2971,16609008,4411935
2972,29924399,8832784,2972,16596750,4414906
2973,29999743,8838729,2973,16611621,4417878
2974,29973270,8844676,2974,16656097,4420851
2975,29970244,8850625,2975,16647328,4423825
2976,30088890,8856576,2976,16685251,4426800
2977,30011191,8862529,2977,16702614,4429776
2978,30019435,8868484,2978,16794355,4432753
2979,30655738,8874441,2979,16745774,4435731
2980,30026332,8880400,2980,17268382,4438710
2981,30541653,8886361,2981,16740201,4441690
2982,30187632,8892324,2982,16735142,4444671
2983,30170191,8898289,2983,16746990,4447653
2984,30173144,8904256,2984,16758724,4450636
2985,30210109,8910225,2985,16740787,4453620
2986,30183888,8916196,2986,16750612,4456605
2987,30201769,8922169,2987,16834008,4459591
2988,30316692,8928144,2988,16777082,4462578
2989,30452062,8934121,2989,16908401,4465566
2990,30331361,8940100,2990,16794824,4468555
2991,30933793,8946081,2991,17213913,4471545
2992,30431435,8952064,2992,16820691,4474536
2993,30409319,8958049,2993,16816983,4477528
2994,30355508,8964036,2994,16866455,4480521
2995,30365744,8970025,2995,16876123,4483515
2996,30419473,8976016,2996,16857147,4486510
2997,30418846,8982009,2997,16894508,4489506
2998,30475586,8988004,2998,17109903,4492503
2999,30557720,8994001,2999,17024327,4495501
3000,30446132,9000000,3000,16932659,4498500
3001,30504653,9006001,3001,17128397,4501500
3002,31383159,9012004,3002,16957641,4504501
3003,30568733,9018009,3003,17088140,4507503
3004,30601005,9024016,3004,16958035,4510506
3005,30589174,9030025,3005,16966470,4513510
3006,30648822,9036036,3006,16987503,4516515
3007,30610323,9042049,3007,16986666,4519521
3008,30676144,9048064,3008,17043890,4522528
3009,30705886,9054081,3009,17000940,4525536
3010,30826829,9060100,3010,17058226,4528545
3011,30699440,9066121,3011,17029857,4531555
3012,31403126,9072144,3012,17404696,4534566
3013,30896488,9078169,3013,17192549,4537578
3014,30836238,9084196,3014,17098995,4540591
3015,31381961,9090225,3015,18445607,4543605
3016,31961944,9096256,3016,17149303,4546620
3017,30834313,9102289,3017,17147900,4549636
3018,30808776,9108324,3018,17156589,4552653
3019,30903610,9114361,3019,17150210,4555671
3020,30912538,9120400,3020,17159286,4558690
3021,30911253,9126441,3021,17164417,4561710
3022,31256784,9132484,3022,17905954,4564731
3023,31129286,9138529,3023,17221731,4567753
3024,30992981,9144576,3024,17197282,4570776
3025,30975421,9150625,3025,17249744,4573800
3026,30962492,9156676,3026,17525243,4576825
3027,31030850,9162729,3027,17219438,4579851
3028,31041484,9168784,3028,18055942,4582878
3029,31731872,9174841,3029,17226455,4585906
3030,31106664,9180900,3030,17343969,4588935
3031,31139548,9186961,3031,17259520,4591965
3032,31136530,9193024,3032,17688458,4594996
3033,32548339,9199089,3033,17305460,4598028
3034,31215940,9205156,3034,17442192,4601061
3035,31307484,9211225,3035,17303593,4604095
3036,31259320,9217296,3036,17312463,4607130
3037,31321396,9223369,3037,17332436,4610166
