minDistance,,,minDistance2,,
array size,nanoseconds,operations1,array size,nanoseconds,operations2
178,202431,31684,178,110085,15753
179,251465,32041,179,113239,15931
180,218519,32400,180,116606,16110
181,221392,32761,181,118880,16290
182,228409,33124,182,148126,16471
183,220179,33489,183,117054,16653
184,233502,33856,184,120106,16836
185,229734,34225,185,126924,17020
186,252141,34596,186,121010,17205
187,265528,34969,187,134901,17391
188,280087,35344,188,120902,17578
189,221193,35721,189,134012,17766
190,240908,36100,190,134025,17955
191,320525,36481,191,141968,18145
192,245351,36864,192,131590,18336
193,263603,37249,193,135262,18528
194,264675,37636,194,131069,18721
195,253222,38025,195,142042,18915
196,264817,38416,196,140907,19110
197,263556,38809,197,139700,19306
198,267172,39204,198,147455,19503
199,272761,39601,199,145855,19701
200,274054,40000,200,148591,19900
201,276668,40401,201,149516,20100
202,283543,40804,202,143796,20301
203,282496,41209,203,144788,20503
204,313347,41616,204,144943,20706
205,280660,42025,205,1528216,20910
206,301204,42436,206,151708,21115
207,292036,42849,207,159532,21321
208,301485,43264,208,160149,21528
209,311154,43681,209,159906,21736
210,302351,44100,210,164137,21945
211,295820,44521,211,172750,22155
212,299925,44944,212,163993,22366
213,323910,45369,213,181206,22578
214,305531,45796,214,165176,22791
215,319958,46225,215,186033,23005
216,323168,46656,216,175591,23220
217,325988,47089,217,176446,23436
218,331318,47524,218,171554,23653
219,341691,47961,219,207301,23871
220,347318,48400,220,179043,24090
221,354373,48841,221,181277,24310
222,357266,49284,222,180512,24531
223,355987,49729,223,185287,24753
224,355736,50176,224,182344,24976
225,357563,50625,225,197375,25200
226,305226,51076,226,172673,25425
227,324842,51529,227,219015,25651
228,332539,51984,228,185488,25878
229,333877,52441,229,185271,26106
230,333163,52900,230,182033,26335
231,341176,53361,231,190015,26565
232,366129,53824,232,196392,26796
233,332977,54289,233,187924,27028
234,347733,54756,234,262075,27261
235,343451,55225,235,194478,27495
236,331546,55696,236,203907,27730
237,405911,56169,237,210672,27966
238,371697,56644,238,189564,28203
239,344336,57121,239,200686,28441
240,377844,57600,240,201372,28680
241,505278,58081,241,202416,28920
242,422726,58564,242,214238,29161
243,447698,59049,243,205683,29403
244,414084,59536,244,210655,29646
245,420082,60025,245,209968,29890
246,444633,60516,246,223546,30135
247,446564,61009,247,225343,30381
248,472261,61504,248,215567,30628
249,421206,62001,249,209865,30876
250,452054,62500,250,229101,31125
251,459068,63001,251,222437,31375
252,461293,63504,252,232284,31626
253,475605,64009,253,213023,31878
254,469738,64516,254,229997,32131
255,477060,65025,255,231521,32385
256,482324,65536,256,231824,32640
257,483675,66049,257,228943,32896
258,484764,66564,258,245293,33153
259,487478,67081,259,240515,33411
260,490147,67600,260,245974,33670
261,489982,68121,261,229563,33930
262,510821,68644,262,241452,34191
263,500032,69169,263,246798,34453
264,507325,69696,264,247452,34716
265,476638,70225,265,236345,34980
266,520917,70756,266,247868,35245
267,520017,71289,267,441337,35511
268,545642,71824,268,252225,35778
269,494821,72361,269,321284,36046
270,536570,72900,270,255500,36315
271,538940,73441,271,262708,36585
272,527628,73984,272,249486,36856
273,536518,74529,273,269097,37128
274,551326,75076,274,261349,37401
275,548325,75625,275,274745,37675
276,528990,76176,276,270268,37950
277,565020,76729,277,286575,38226
278,565681,77284,278,272652,38503
279,545175,77841,279,263649,38781
280,567882,78400,280,288016,39060
281,573571,78961,281,286076,39340
282,587425,79524,282,280487,39621
283,561557,80089,283,286662,39903
284,589999,80656,284,296786,40186
285,577040,81225,285,294597,40470
286,560151,81796,286,287098,40755
287,591896,82369,287,286951,41041
288,595168,82944,288,288627,41328
289,594415,83521,289,288342,41616
290,602139,84100,290,303022,41905
291,608537,84681,291,307418,42195
292,615815,85264,292,294407,42486
293,623039,85849,293,311091,42778
294,621215,86436,294,313729,43071
295,622216,87025,295,297664,43365
296,623964,87616,296,322017,43660
297,631376,88209,297,319229,43956
298,642465,88804,298,308065,44253
299,642024,89401,299,323773,44551
300,651249,90000,300,312008,44850
301,707743,90601,301,301978,45150
302,652824,91204,302,321728,45451
303,664836,91809,303,318240,45753
304,663529,92416,304,313203,46056
305,667743,93025,305,335282,46360
306,669252,93636,306,365857,46665
307,661548,94249,307,316246,46971
308,682738,94864,308,335142,47278
309,686464,95481,309,345554,47586
310,664925,96100,310,336869,47895
311,695738,96721,311,344158,48205
312,699642,97344,312,340849,48516
313,670460,97969,313,378710,48828
314,707345,98596,314,344329,49141
315,709671,99225,315,361495,49455
316,685002,99856,316,362047,49770
317,725379,100489,317,365590,50086
318,729496,101124,318,348614,50403
319,735841,101761,319,354942,50721
320,741790,102400,320,366062,51040
321,714976,103041,321,360613,51360
322,756136,103684,322,361255,51681
323,790276,104329,323,357209,52003
324,753299,104976,324,378077,52326
325,766793,105625,325,369138,52650
326,738903,106276,326,371248,52975
327,778464,106929,327,386533,53301
328,785736,107584,328,373276,53628
329,644785,108241,329,408501,53956
330,696437,108900,330,378714,54285
331,682914,109561,331,378638,54615
332,604316,110224,332,383999,54946
333,705078,110889,333,398675,55278
334,776976,111556,334,413043,55611
335,645650,112225,335,400621,55945
336,686566,112896,336,393131,56280
337,777707,113569,337,377951,56616
338,656071,114244,338,369713,56953
339,660757,114921,339,394165,57291
340,749762,115600,340,395673,57630
341,712316,116281,341,390554,57970
342,726166,116964,342,386890,58311
343,748954,117649,343,404304,58653
344,757850,118336,344,404207,58996
345,805338,119025,345,428649,59340
346,666050,119716,346,398510,59685
347,670930,120409,347,396393,60031
348,773084,121104,348,425104,60378
349,781781,121801,349,412125,60726
350,786400,122500,350,431582,61075
351,782084,123201,351,434457,61425
352,737139,123904,352,404633,61776
353,697925,124609,353,408269,62128
354,759497,125316,354,426545,62481
355,811647,126025,355,433905,62835
356,806252,126736,356,442818,63190
357,828864,127449,357,427443,63546
358,673121,128164,358,437718,63903
359,841600,128881,359,435282,64261
360,804468,129600,360,432556,64620
361,820467,130321,361,438257,64980
362,967903,131044,362,438264,65341
363,963772,131769,363,275589,65703
364,532541,132496,364,275098,66066
365,704634,133225,365,281694,66430
366,696527,133956,366,278789,66795
367,665131,134689,367,278966,67161
368,564372,135424,368,403528,67528
369,697206,136161,369,280451,67896
370,672864,136900,370,281873,68265
371,650544,137641,371,307516,68635
372,552355,138384,372,286814,69006
373,554470,139129,373,312921,69378
374,949111,139876,374,519869,69751
375,936385,140625,375,482986,70125
376,942774,141376,376,504817,70500
377,916298,142129,377,357573,70876
378,906331,142884,378,505527,71253
379,978187,143641,379,539141,71631
380,941844,144400,380,507980,72010
381,1003224,145161,381,542289,72390
382,931835,145924,382,527663,72771
383,987476,146689,383,344797,73153
384,669297,147456,384,525366,73536
385,873141,148225,385,397788,73920
386,725153,148996,386,400096,74305
387,619576,149769,387,397259,74691
388,761944,150544,388,374551,75078
389,716251,151321,389,414487,75466
390,832876,152100,390,439346,75855
391,808566,152881,391,412323,76245
392,901827,153664,392,434826,76636
393,799081,154449,393,402667,77028
394,830981,155236,394,441274,77421
395,865766,156025,395,395285,77815
396,809758,156816,396,440131,78210
397,836392,157609,397,440134,78606
398,833222,158404,398,431795,79003
399,782193,159201,399,415252,79401
400,805881,160000,400,428276,79800
401,789924,160801,401,425480,80200
402,792080,161604,402,428342,80601
403,798320,162409,403,435660,81003
404,801541,163216,404,431544,81406
405,1145530,164025,405,541103,81810
406,815637,164836,406,762359,82215
407,791002,165649,407,403605,82621
408,728433,166464,408,626578,83028
409,1194469,167281,409,679276,83436
410,1191382,168100,410,464211,83845
411,1014595,168921,411,704570,84255
412,1145819,169744,412,615021,84666
413,1115106,170569,413,638093,85078
414,783552,171396,414,509986,85491
415,923927,172225,415,499493,85905
416,1173361,173056,416,628434,86320
417,950000,173889,417,356262,86736
418,711936,174724,418,359001,87153
419,647941,175561,419,361516,87571
420,656501,176400,420,364471,87990
421,679480,177241,421,362414,88410
422,657641,178084,422,367017,88831
423,661509,178929,423,367242,89253
424,684655,179776,424,367643,89676
425,666990,180625,425,371271,90100
426,668077,181476,426,371040,90525
427,685613,182329,427,373823,90951
428,676195,183184,428,375258,91378
429,678015,184041,429,386234,91806
430,695950,184900,430,558236,92235
431,791264,185761,431,387527,92665
432,691291,186624,432,397699,93096
433,895071,187489,433,385347,93528
434,750999,188356,434,468894,93961
435,1071199,189225,435,518482,94395
436,919704,190096,436,518554,94830
437,926687,190969,437,498645,95266
438,937779,191844,438,501910,95703
439,936006,192721,439,519584,96141
440,852192,193600,440,395964,96580
441,717875,194481,441,398570,97020
442,722261,195364,442,403178,97461
443,738246,196249,443,400824,97903
444,928686,197136,444,650877,98346
445,731623,198025,445,422635,98790
446,741571,198916,446,408807,99235
447,737647,199809,447,409266,99681
448,774697,200704,448,415559,100128
449,783033,201601,449,471617,100576
450,746974,202500,450,415148,101025
451,788774,203401,451,416432,101475
452,752561,204304,452,417142,101926
453,757795,205209,453,423080,102378
454,798024,206116,454,421358,102831
455,770255,207025,455,427045,103285
456,767228,207936,456,438709,103740
457,773183,208849,457,430418,104196
458,776027,209764,458,428938,104653
459,858932,210681,459,433417,105111
460,783675,211600,460,435811,105570
461,788001,212521,461,436612,106030
462,804600,213444,462,445029,106491
463,813914,214369,463,437604,106953
464,792836,215296,464,448088,107416
465,796647,216225,465,441394,107880
466,799314,217156,466,445605,108345
467,818671,218089,467,444810,108811
468,806883,219024,468,449278,109278
469,810900,219961,469,501744,109746
470,823489,220900,470,459597,110215
471,1211511,221841,471,532855,110685
